# format: artist|title|album|year|listen_url
# Scraped from 17 playlists - 578 songs
Tokyo Incidents|透明人間|Love Girls cause I'm a Girl||https://open.spotify.com/track/7IUpgtokm66oFFIvcFsAq6
WEDNESDAY CAMPANELLA|Hot Pot Commander|Love Girls cause I'm a Girl||https://open.spotify.com/track/1dXJnQPtOBDqzmrYKrjv22
HARU NEMURI|rock 'n' roll wa shinanai with totsuzenshounen|Love Girls cause I'm a Girl||https://open.spotify.com/track/5FoiQ2EieChMpkh4dx23Xs
SHISHAMO|なんとなく。|Love Girls cause I'm a Girl||https://open.spotify.com/track/685E7VfekdXLLM2KB6zpav
POLKADOT STINGRAY|どうでもいいよ|Love Girls cause I'm a Girl||https://open.spotify.com/track/1rVCDraEhrRzIue36gNu6x
月裏|砂糖じかけの電影街 (feat. GUMI)|Love Girls cause I'm a Girl||https://open.spotify.com/track/7woJbv6ZxTfNM2eqbTNxYH
POLKADOT STINGRAY|hide and seek|Love Girls cause I'm a Girl||https://open.spotify.com/track/4eihC5rEwGrMFQ8pJDnLVk
Kaneko Ayano|予感|Love Girls cause I'm a Girl||https://open.spotify.com/track/4tKrrFD7CQt8fPU7qUmV5E
ネクライトーキー|北上のススメ|Love Girls cause I'm a Girl||https://open.spotify.com/track/4mz73tXbsKITt5gc3OQOqO
POLKADOT STINGRAY|SURF|Love Girls cause I'm a Girl||https://open.spotify.com/track/4ExTIDgZTy6C4eHxEqMj8k
peanut butters|メロンD|Love Girls cause I'm a Girl||https://open.spotify.com/track/66rkjSPnx0NZuBswiOjj1E
式浦躁吾|just saying, the body is honest.|Love Girls cause I'm a Girl||https://open.spotify.com/track/4z1O8W35JfmFjPlD9KYvid
MASS OF THE FERMENTING DREGS|delusionalism|Love Girls cause I'm a Girl||https://open.spotify.com/track/10FC7rI5KzGmyTHowOoebw
tricot|混ぜるな危険|Love Girls cause I'm a Girl||https://open.spotify.com/track/3WWslYheowgYhLk1wrW0T0
SHISHAMO|好き好き！|Love Girls cause I'm a Girl||https://open.spotify.com/track/3aMpIgo7DfBl7Hk6i8ncke
